company_name,weight,total_length,start_area,end_area,price
실버퀵,5,100,동대문,성북,9
실버퀵,5,100,동작,성북,10
실버퀵,5,100,마포,성북,9
실버퀵,5,100,서대문,성북,10
실버퀵,5,100,서초,성북,10
실버퀵,5,100,성동,성북,9
실버퀵,5,100,성북,성북,6
실버퀵,5,100,송파,성북,11
실버퀵,5,100,양천,성북,11
실버퀵,5,100,영등포,성북,10
실버퀵,5,100,용산,성북,9
실버퀵,5,100,은평,성북,10
실버퀵,5,100,종로,성북,8
실버퀵,5,100,중구,성북,8
실버퀵,5,100,중랑,성북,9
실버퀵,5,100,부천,성북,17
실버퀵,5,100,인천,성북,22
실버퀵,5,100,안양,성북,16
실버퀵,5,100,수원,성북,22
실버퀵,5,100,안산,성북,22
실버퀵,5,100,성남,성북,17
실버퀵,5,100,일산,성북,17
실버퀵,5,100,의정부,성북,12
실버퀵,5,100,강남,송파,9
실버퀵,5,100,강동,송파,8
실버퀵,5,100,강북,송파,11
실버퀵,5,100,강서,송파,11
실버퀵,5,100,관악,송파,9
실버퀵,5,100,광진,송파,8
실버퀵,5,100,구로,송파,10
실버퀵,5,100,금천,송파,11
실버퀵,5,100,노원,송파,10
실버퀵,5,100,도봉,송파,11
실버퀵,5,100,동대문,송파,10
실버퀵,5,100,동작,송파,9
실버퀵,5,100,마포,송파,10
실버퀵,5,100,서대문,송파,10
실버퀵,5,100,서초,송파,9
실버퀵,5,100,성동,송파,9
실버퀵,5,100,성북,송파,11
실버퀵,5,100,송파,송파,6
실버퀵,5,100,양천,송파,11
실버퀵,5,100,영등포,송파,10
실버퀵,5,100,용산,송파,9
실버퀵,5,100,은평,송파,11
실버퀵,5,100,종로,송파,9
실버퀵,5,100,중구,송파,9
실버퀵,5,100,중랑,송파,9
실버퀵,5,100,부천,송파,17
실버퀵,5,100,인천,송파,22
실버퀵,5,100,안양,송파,16
실버퀵,5,100,수원,송파,22
실버퀵,5,100,안산,송파,22
실버퀵,5,100,성남,송파,12
실버퀵,5,100,일산,송파,19
실버퀵,5,100,의정부,송파,18
실버퀵,5,100,강남,양천,11
실버퀵,5,100,강동,양천,11
실버퀵,5,100,강북,양천,11
실버퀵,5,100,강서,양천,8
실버퀵,5,100,관악,양천,9
실버퀵,5,100,광진,양천,11
실버퀵,5,100,구로,양천,9
실버퀵,5,100,금천,양천,9
실버퀵,5,100,노원,양천,11
실버퀵,5,100,도봉,양천,11
실버퀵,5,100,동대문,양천,10
실버퀵,5,100,동작,양천,10
실버퀵,5,100,마포,양천,9
실버퀵,5,100,서대문,양천,10
실버퀵,5,100,서초,양천,11
실버퀵,5,100,성동,양천,11
실버퀵,5,100,성북,양천,11
실버퀵,5,100,송파,양천,11
실버퀵,5,100,양천,양천,6
실버퀵,5,100,영등포,양천,8
실버퀵,5,100,용산,양천,9
실버퀵,5,100,은평,양천,10
실버퀵,5,100,종로,양천,10
실버퀵,5,100,중구,양천,10
실버퀵,5,100,중랑,양천,11
실버퀵,5,100,부천,양천,12
실버퀵,5,100,인천,양천,17
실버퀵,5,100,안양,양천,17
실버퀵,5,100,수원,양천,17
실버퀵,5,100,안산,양천,17
실버퀵,5,100,성남,양천,18
실버퀵,5,100,일산,양천,19
실버퀵,5,100,의정부,양천,20
실버퀵,5,100,강남,영등포,10
실버퀵,5,100,강동,영등포,11
실버퀵,5,100,강북,영등포,11
실버퀵,5,100,강서,영등포,8
실버퀵,5,100,관악,영등포,8
실버퀵,5,100,광진,영등포,10
실버퀵,5,100,구로,영등포,8
실버퀵,5,100,금천,영등포,9
실버퀵,5,100,노원,영등포,11
실버퀵,5,100,도봉,영등포,11
실버퀵,5,100,동대문,영등포,9
실버퀵,5,100,동작,영등포,8
실버퀵,5,100,마포,영등포,8
실버퀵,5,100,서대문,영등포,9
실버퀵,5,100,서초,영등포,9
실버퀵,5,100,성동,영등포,10
실버퀵,5,100,성북,영등포,10
실버퀵,5,100,송파,영등포,10
실버퀵,5,100,양천,영등포,9
실버퀵,5,100,영등포,영등포,6
실버퀵,5,100,용산,영등포,9
실버퀵,5,100,은평,영등포,10
실버퀵,5,100,종로,영등포,9
실버퀵,5,100,중구,영등포,9
실버퀵,5,100,중랑,영등포,11
실버퀵,5,100,부천,영등포,10
실버퀵,5,100,인천,영등포,17
실버퀵,5,100,안양,영등포,11
실버퀵,5,100,수원,영등포,17
실버퀵,5,100,안산,영등포,17
실버퀵,5,100,성남,영등포,18
실버퀵,5,100,일산,영등포,18
실버퀵,5,100,의정부,영등포,18
실버퀵,5,100,강남,용산,9
실버퀵,5,100,강동,용산,10
실버퀵,5,100,강북,용산,9
실버퀵,5,100,강서,용산,9
실버퀵,5,100,관악,용산,9
실버퀵,5,100,광진,용산,9
실버퀵,5,100,구로,용산,9
실버퀵,5,100,금천,용산,10
실버퀵,5,100,노원,용산,10
실버퀵,5,100,도봉,용산,10
실버퀵,5,100,동대문,용산,9
실버퀵,5,100,동작,용산,9
실버퀵,5,100,마포,용산,8
실버퀵,5,100,서대문,용산,9
실버퀵,5,100,서초,용산,9
실버퀵,5,100,성동,용산,9
실버퀵,5,100,성북,용산,9
실버퀵,5,100,송파,용산,10
실버퀵,5,100,양천,용산,9
실버퀵,5,100,영등포,용산,9
실버퀵,5,100,용산,용산,6
실버퀵,5,100,은평,용산,10
실버퀵,5,100,종로,용산,8
실버퀵,5,100,중구,용산,8
실버퀵,5,100,중랑,용산,10
실버퀵,5,100,부천,용산,13
실버퀵,5,100,인천,용산,18
실버퀵,5,100,안양,용산,12
실버퀵,5,100,수원,용산,18
실버퀵,5,100,안산,용산,18
실버퀵,5,100,성남,용산,16
실버퀵,5,100,일산,용산,17
실버퀵,5,100,의정부,용산,17
실버퀵,5,100,강남,은평,11
실버퀵,5,100,강동,은평,11
실버퀵,5,100,강북,은평,11
실버퀵,5,100,강서,은평,10
실버퀵,5,100,관악,은평,11
실버퀵,5,100,광진,은평,11
실버퀵,5,100,구로,은평,11
실버퀵,5,100,금천,은평,11
실버퀵,5,100,노원,은평,11
실버퀵,5,100,도봉,은평,11
실버퀵,5,100,동대문,은평,10
실버퀵,5,100,동작,은평,11
실버퀵,5,100,마포,은평,9
실버퀵,5,100,서대문,은평,9
실버퀵,5,100,서초,은평,11
실버퀵,5,100,성동,은평,10
실버퀵,5,100,성북,은평,10
실버퀵,5,100,송파,은평,11
실버퀵,5,100,양천,은평,10
실버퀵,5,100,영등포,은평,10
실버퀵,5,100,용산,은평,10
실버퀵,5,100,은평,은평,6
실버퀵,5,100,종로,은평,9
실버퀵,5,100,중구,은평,9
실버퀵,5,100,중랑,은평,11
실버퀵,5,100,부천,은평,17
실버퀵,5,100,인천,은평,22
실버퀵,5,100,안양,은평,16
실버퀵,5,100,수원,은평,22
실버퀵,5,100,안산,은평,22
실버퀵,5,100,성남,은평,18
실버퀵,5,100,일산,은평,11
실버퀵,5,100,의정부,은평,17
실버퀵,5,100,강남,종로,9
실버퀵,5,100,강동,종로,9
실버퀵,5,100,강북,종로,9
실버퀵,5,100,강서,종로,10
실버퀵,5,100,관악,종로,9
실버퀵,5,100,광진,종로,9
실버퀵,5,100,구로,종로,9
실버퀵,5,100,금천,종로,10
실버퀵,5,100,노원,종로,9
실버퀵,5,100,도봉,종로,9
실버퀵,5,100,동대문,종로,8
실버퀵,5,100,동작,종로,9
실버퀵,5,100,마포,종로,9
실버퀵,5,100,서대문,종로,8
실버퀵,5,100,서초,종로,9
실버퀵,5,100,성동,종로,9
실버퀵,5,100,성북,종로,8
실버퀵,5,100,송파,종로,9
실버퀵,5,100,양천,종로,10
실버퀵,5,100,영등포,종로,9
실버퀵,5,100,용산,종로,8
실버퀵,5,100,은평,종로,9
실버퀵,5,100,종로,종로,6
실버퀵,5,100,중구,종로,7
실버퀵,5,100,중랑,종로,10
실버퀵,5,100,부천,종로,15
실버퀵,5,100,인천,종로,20
실버퀵,5,100,안양,종로,14
실버퀵,5,100,수원,종로,20
실버퀵,5,100,안산,종로,20
